Channel,Vm,mTau,hTau
Naf,-80.0,0.023,0.433
Naf,-70.0,0.03,0.433
Naf,-60.0,0.037,0.433
Naf,-50.0,0.043,0.433
Naf,-40.0,0.067,0.433
Naf,-30.0,0.107,0.433
Naf,-20.0,0.053,0.283
Naf,-10.0,0.05,0.167
Naf,0.0,0.04,0.15
Naf,10.0,0.027,0.107
Naf,20.0,0.02,0.1
Naf,30.0,0.02,0.093
Nap,-100.0,,1500.0
Nap,-90.0,,1583.33
Nap,-80.0,,1733.33
Nap,-70.0,,2033.33
Nap,-60.0,,2100.0
Nap,-50.0,,1666.67
Nap,-40.0,,1416.67
Nap,-30.0,,1166.67
Nap,-20.0,,1000.0
Nap,-10.0,,900.0
Nap,0.0,,833.33
Nap,10.0,,700.0
Krp,-100.0,13.33,2333.33
Krp,-95.0,15.0,2333.33
Krp,-90.0,16.27,2333.33
Krp,-85.0,18.33,2333.33
Krp,-80.0,21.47,2333.33
Krp,-75.0,25.0,2333.33
Krp,-70.0,27.97,2333.33
Krp,-65.0,30.0,2333.33
Krp,-60.0,31.17,2333.33
Krp,-55.0,31.67,2333.33
Krp,-50.0,31.8,2333.33
Krp,-45.0,32.33,2333.33
Krp,-40.0,33.07,2333.33
Krp,-35.0,31.67,2333.33
Krp,-30.0,26.57,2333.33
Krp,-25.0,20.0,2333.33
Krp,-20.0,14.83,2333.33
Krp,-15.0,11.67,2333.33
Krp,-10.0,9.77,2333.33
Krp,-5.0,8.33,2333.33
Krp,0.0,6.67,2247.5
Krp,5.0,5.0,2000.0
Krp,10.0,3.87,1580.07
Krp,15.0,3.33,1166.67
Krp,20.0,3.2,927.77
Krp,25.0,3.33,833.33
Krp,30.0,3.5,778.77
Krp,35.0,3.33,733.33
Krp,40.0,2.67,694.5
Krp,45.0,1.67,666.67
Krp,50.0,1.67,666.67
Kaf,-40.0,0.6,
Kaf,-30.0,0.367,
Kaf,-20.0,0.333,
Kaf,-10.0,0.333,
Kaf,0.0,0.3,
Kaf,10.0,0.267,
Kaf,20.0,0.3,
Kaf,30.0,0.3,
Kaf,40.0,0.3,
Kaf,50.0,0.267,
Kir,-100.0,14.93,
Kir,-90.0,16.0,
Kir,-80.0,18.87,
Kir,-70.0,21.51,
Kir,-60.0,24.24,
Kir,-50.0,27.59,
Kir,-40.0,30.77,
Kir,-30.0,28.57,
Kir,-20.0,23.53,
Kir,-10.0,17.78,
Kir,0.0,16.0,
CaR,-30.0,,33.33
CaR,-20.0,,21.67
CaR,-10.0,,11.67
CaR,0.0,,10.0
CaR,10.0,,6.67
Cat,-65.0,6.73,127.33
Cat,-60.0,6.73,69.33
Cat,-55.0,4.37,54.0
Cat,-50.0,2.9,43.0
Cat,-45.0,2.27,39.67
Cat,-40.0,1.87,35.67
Cat,-35.0,1.47,35.67
Cat,-30.0,1.27,35.67
Cat,-25.0,1.2,36.0
Cat,-20.0,1.1,36.33
Cat,-15.0,1.2,36.33
Cat,-10.0,1.2,36.67
Cat,-5.0,1.1,36.67
Cat,0.0,1.1,36.67
Cat,5.0,1.1,36.67
Cat,10.0,1.1,36.67
